TEMP;Al2O3;B2O3;BaO;BeO;BrH;C;CO;CO2;CaO;ClH;CoO;CuO;FH;FeO;H2;H2O;Hg;K2CO3;Li2CO3;MgO;MnO;MoO3;N2;Na2CO3;NiO;O2;PO;PbO;SO2;Sb2O3;SiO2;TiO2;WO3;ZnO;ZrO2
298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300;0,035;0,028;0,02;0,011;0,013;0,004;0,013;0,016;0,019;0,013;0,019;0,03;0,013;0,022;0,013;0,015;0,012;0,051;0,043;0,016;0,025;0,033;0,013;0,049;0,019;0,013;0,014;0,022;0,018;0,045;0,012;0,024;0,032;0,018;0,025
400;2,147;1,712;1,165;0,727;0,71;0,25;0,711;0,958;1,098;0,71;1,076;1,681;0,709;1,24;0,707;0,825;0,673;2,956;2,543;0,978;1,13;1,935;0,71;2,867;1,174;0,724;0,778;1,222;1,016;2,553;0,937;1,423;1,896;1,05;1,471
500;4,577;3,671;2,387;1,594;1,411;0,569;1,417;1,987;2,262;1,408;2,155;3,394;1,406;2,497;1,406;1,654;1,325;6,164;5,418;2,03;2,284;3,979;1,413;6,056;2,435;1,455;1,561;2,462;2,093;5,233;2,195;2,928;3,942;2,167;3,048
600;7,193;5,872;3,652;2,567;2,12;0,947;2,137;3,087;3,492;2,112;3,256;5,169;2,104;3,792;2,106;2,509;1,974;9,64;8,736;3,138;3,473;6,125;2,125;9,702;3,752;2,21;2,364;3,742;3,237;8,083;3,621;4,5;6,118;3,332;4,699
700;9,94;8,339;4,946;3,614;2,84;1,372;2,873;4,245;4,781;2,823;4,379;7,006;2,804;5,119;2,808;3,39;16,649;13,359;13,127;4,283;4,689;8,367;2,853;13,89;5,106;2,988;3,185;5,062;4,433;11,105;5,145;6,122;8,382;4,53;6,4
800;12,778;16,7;6,263;4,716;3,575;1,831;3,627;5,453;6,125;3,546;5,524;8,905;3,508;6,475;3,514;4,3;17,146;17,309;16,711;5,457;5,93;10,707;3,596;17,837;6,485;3,785;4,02;6,834;5,669;14,297;6,731;7,785;10,706;5,754;8,139
900;16,685;19,88;7,598;5,855;4,325;2,318;4,397;6,702;7,521;4,281;6,691;10,866;4,217;7,857;4,226;5,24;17,642;21,487;20,726;6,652;7,193;13,15;4,355;21,655;7,884;4,6;4,867;8,283;6,936;17,661;8,359;9,485;13,074;6,998;9,909
1000;18,644;23,033;8,948;7,019;5,09;2,824;5,183;7,984;8,969;5,03;7,88;12,889;4,934;9,263;4,944;6,209;18,139;25,89;35,879;7,867;8,479;15,7;5,129;25,782;9,299;5,427;5,723;9,796;8,225;35,965;10,017;11,219;15,483;8,261;11,707
1100;21,644;26,155;10,314;8,2;5,869;3,347;5,983;9,296;10,467;5,793;9,091;14,974;5,66;10,692;5,67;7,21;18,636;30,518;40,311;9,098;9,786;30,059;5,917;30,22;10,729;6,266;6,586;11,373;9,54;39,565;11,699;12,985;18,235;9,54;13,529
1200;24,674;29,244;11,692;9,399;6,662;3,883;6,794;10,632;12,016;6,559;10,324;17,121;6,395;12,142;6,404;8,24;19,133;42,008;44,743;10,343;11,113;33,094;6,718;41,885;12,172;7,114;7,455;15,732;10,886;43,165;13,399;14,781;20,62;10,835;15,375
1300;27,745;32,311;13,083;10,614;7,466;4,432;7,616;11,988;13,614;7,356;11,579;19,33;7,14;13,613;7,148;9,298;19,63;47,008;49,175;11,597;12,461;36,128;7,529;46,415;13,626;7,971;8,329;17,192;12,206;46,765;15,113;16,608;23,044;12,145;17,242
1400;30,859;35,367;14,487;11,847;8,282;4,988;8,446;13,362;15,261;8,155;12,856;21,601;7,896;15,104;7,902;10,384;20,126;52,008;53,607;12,86;13,829;39,162;8,35;50,945;15,091;8,835;9,206;18,652;13,556;50,365;16,84;16,464;25,507;13,468;19,131
1500;34,004;38,421;15,902;13,098;9,107;5,552;9,285;14,75;16,958;8,965;14,155;23,934;8,661;16,611;8,668;11,495;20,623;57,008;58,039;14,13;15,217;42,196;9,179;55,475;16,566;9,706;10,088;20,112;14,915;53,965;18,577;20,348;28,009;14,806;22,43
1600;37,181;41,475;17,329;14,366;9,941;6,122;10,13;16,152;18,704;9,783;15,476;26,329;9,437;18,134;9,446;12,63;21,12;62,008;62,471;15,409;16,625;115,806;10,015;60,005;18,052;10,583;10,972;21,572;16,282;57,565;20,323;22,262;30,551;16,157;24,21
1700;40,388;44,53;18,768;15,652;10,782;6,696;10,98;17,565;20,488;10,61;16,819;41,739;10,221;25,468;10,233;13,787;21,617;67,008;66,903;16,695;18,053;117,759;10,858;64,535;19,547;11,465;11,858;23,032;17,656;70,06;22,076;24,203;33,131;17,521;25,99
1800;43,624;47,576;20,217;16,955;11,631;7,275;11,836;18,987;22,342;11,445;18,184;43,939;11,015;27,097;11,03;14,964;22,114;72,008;71,335;17,988;19,501;119,715;11,707;69,065;21,052;12,354;12,747;75,168;19,035;72,14;23,837;26,173;53,592;18,899;27,77
1900;46,235;50,63;21,678;18,275;12,486;7,857;12,697;20,418;24,234;12,287;19,571;46,139;11,816;28,728;11,836;16,16;22,61;77,008;75,767;19,29;20,968;121,675;12,56;73,595;22,566;13,249;13,638;76,052;20,42;74,22;25,306;28,17;56,743;20,289;29,55
