Temperatura (K);K1( - );K2(Pa);K1( - );K2(Pa)
;;;;
298;9,5840E-06;3,8030E-19;-;-
300;1,0620E-05;5,8100E-19;-;-
400;6,4420E-04;1,4700E-11;-;-
500;7,2610E-03;4,0020E-07;-;-
600;3,5160E-02;3,5010E-04;-;-
700;0,1054;4,2870E-02;-;-
800;0,2361;1,5350E+00;-;-
900;0,4335;2,4160E+01;-;-
1000;0,6934;2,1340E-01;0,6929;2,2160E+02
;;;;
1100;1,0069;1,2470E+03;-;-
1200;1,3646;5,3350E+03;1,3632;5,5130E+03
1300;1,7498;1,8000E+04;-;-
1400;2,1538;5,0370E+04;2,1548;5,3460E+04
1500;2,5645;1,2140E+05;2,5667;1,3170E+05
1600;2,9785;2,6010E+05;2,9802;2,8850E+05
1700;3,3884;5,0450E+05;3,3835;5,7440E+05
1800;3,7757;8,9950E+05;3,7803;1,0560E+06
1900;4,1591;1,5020E+06;4,1615;1,8150E+06
2000;4,5290;2,3730E+06;4,5270;2,9480E+06
;;;;
2100;4,8753;3,5570E+06;4,8760;4,5610E+06
2200;5,2000;5,1040E+06;5,2046;6,7670E+06
2300;5,5208;7,0890E+06;5,5154;9,6830E+06
2400;5,8076;9,5080E+06;5,8070;1,3420E+07
2500;6,0814;1,2400E+07;6,0851;1,8100E+07
2600;6,3387;1,5790E+07;6,3413;2,3810E+07
2700;6,5766;1,9680E+07;6,5819;3,0650E+07
2800;6,8077;2,4110E+08;6,8075;3,8700E+07
2900;7,0146;2,9030E+07;7,0147;4,8020E+07
3000;7,2111;3,4370E+07;7,2127;5,8680E+07
;;;;
3100;7,3961;4,0170E+07;7,3932;7,0690E+07
3200;7,5509;4,6360E+07;7,5607;8,4100E+07
3300;7,7268;5,3060E+07;7,7143;9,8910E+07
3400;7,8524;5,9680E+07;7,8607;1,1510E+08
3500;7,9899;6,6870E+07;7,9910;1,3270E+08
3600;8,1196;7,4300E+07;8,1144;1,5170E+08
3700;8,2224;8,1860E+07;8,2266;1,7200E+08
3800;8,3368;8,9640E+07;8,3310;1,9360E+08
3900;8,4333;9,7550E+07;8,4258;2,1640E+08
4000;8,5114;1,0530E+08;8,5124;2,4060E+08
;;;;
4100;8,6099;1,1340E+08;8,5926;2,6560E+08
4200;8,6497;1,2080E+08;8,6634;2,9190E+08
4300;8,7297;1,2910E+08;8,7296;3,1910E+08
4400;8,7902;1,3670E+08;8,7900;3,4740E+08
4500;8,8308;1,4420E+08;8,8442;3,7650E+08
4600;8,9125;1,5220E+08;8,8888;4,0640E+08
4700;8,9536;1,5970E+08;8,9304;4,3700E+08
4800;8,9743;1,6670E+09;8,9698;4,6480E+08
4900;8,9950;1,7340E+08;9,0001;5,0030E+08
5000;9,0365;1,8000E+08;9,0312;5,3290E+08
;;;;
5100;9,0573;1,8690E+08;9,0524;5,6590E+08
5200;9,0782;1,9330E+08;9,0736;5,9930E+08
5300;9,0872;1,9910E+08;9,0872;6,3310E+08
5400;9,0991;2,0510E+08;-;-
5500;9,1201;2,1080E+08;-;-
5600;9,1201;2,1580E+08;-;-
5700;9,1201;2,2150E+08;-;-
5800;9,1201;2,2640E+08;-;-
5900;9,1201;2,3040E+08;-;-
6000;9,1411;2,3560E+08;-;-
