;;
Temperatura (K);K1= PCO.PH2O / PCO2·PH2;K2=P ² CO / P CO2
1000;0,692900;0,002216
1200;1,363200;0,055130
1400;2,154800;0,534600
1500;2,566700;1,317000
1600;2,980200;2,885000
1700;3,383500;5,744000
1800;3,780300;10,560000
1900;4,161500;18,150000
2000;4,527000;29,480000
2100;4,876000;45,610000
2200;5,204600;67,670000
2300;5,515400;96,830000
2400;5,807000;134,200000
2500;6,085100;181,000000
2600;6,341300;238,100000
2700;6,581900;306,500000
2800;6,807500;387,000000
2900;7,014700;480,200000
3000;7,212700;586,800000
3100;7,393200;706,900000
3200;7,560700;841,000000
3300;7,714300;989,100000
3400;7,860700;1151,000000
3500;7,991000;1327,000000
3600;8,114400;1517,000000
3700;8,226600;1720,000000
3800;8,331000;1936,000000
3900;8,425800;2164,000000
4000;8,512400;2406,000000
4100;8,592600;2656,000000
4200;8,663400;2919,000000
4300;8,729600;3191,000000
4400;8,790000;3474,000000
4500;8,844200;3765,000000
4600;8,888800;4064,000000
4700;8,930400;4370,000000
4800;8,969800;4648,000000
4900;9,000100;5003,000000
5000;9,031200;5329,000000
5100;9,052400;5659,000000
5200;9,073600;5993,000000
5300;9,087200;6331,000000
